epoch,quantization_error,neighborhood_radius
0,4.579414326637349,3.0
1,1.764596687533153,3.0
2,1.4873000425516474,2.98
3,1.3772227090625946,2.96
4,1.3733932050371909,2.94
5,1.3594888466737376,2.92
6,1.3556509941482944,2.9
7,1.3456967316730777,2.88
8,1.3367020207012468,2.86
9,1.3288565012295448,2.84
10,1.328921948925184,2.8200000000000003
11,1.3283127419702452,2.8
12,1.322998899982981,2.7800000000000002
13,1.3234836690949694,2.76
14,1.3235992185593026,2.74
15,1.3233719144170217,2.7199999999999998
16,1.3236973827400877,2.7
17,1.3246051278617832,2.6799999999999997
18,1.325064961248106,2.66
19,1.3282863092855464,2.64
20,1.3258099501133476,2.62
21,1.325354850152347,2.6
22,1.3240362677342876,2.58
23,1.3241899138917415,2.56
24,1.3254118626272247,2.54
25,1.3241115264635175,2.52
26,1.3244361973155585,2.5
27,1.3254527204986746,2.48
28,1.3259693206104877,2.46
29,1.3250330556052463,2.44
30,1.3259037088044097,2.42
31,1.3257230643730429,2.4
32,1.3265668527059002,2.38
33,1.3277246362908135,2.36
34,1.3259477981862215,2.34
35,1.3263519441812148,2.32
36,1.3254586524246745,2.3
37,1.326145404104687,2.2800000000000002
38,1.3256610774424304,2.26
39,1.3252350597002647,2.24
40,1.325603203823032,2.2199999999999998
41,1.3247009220747958,2.2
42,1.3255222324372784,2.18
43,1.3271180617592615,2.16
44,1.3263201457754699,2.14
45,1.3269597121523444,2.12
46,1.3264683031426459,2.1
47,1.3268703531019943,2.08
48,1.327216680975815,2.06
49,1.327667647348487,2.04
50,1.326961571554819,2.02
51,1.3274333315937137,2.0
52,1.186754379199202,1.98
53,1.2108165817007672,1.96
54,1.1865070469977765,1.94
55,1.193713965495671,1.92
56,1.1885436362890918,1.9
57,1.1899811411016197,1.88
58,1.1884288059113062,1.86
59,1.1887624668809893,1.84
60,1.1900759150852396,1.82
61,1.1898687637011298,1.8
62,1.1892983739236416,1.78
63,1.1898326313023901,1.76
64,1.1900954787732034,1.74
65,1.1906544231158716,1.72
66,1.191505453150039,1.7
67,1.1916713705210775,1.68
68,1.192344377680974,1.66
69,1.1925744415879629,1.64
70,1.1926772075170582,1.62
71,1.1924797043954185,1.6
72,1.1931862644201088,1.58
73,1.19362636719549,1.56
74,1.193970980685334,1.54
75,1.1936756965954118,1.52
76,1.1927959812804334,1.5
77,1.1923234081427996,1.48
78,1.191531830933103,1.46
79,1.1909214645498456,1.44
80,1.1909292285943673,1.42
81,1.1902071538382224,1.4
82,1.190183794471237,1.38
83,1.189370457351065,1.36
84,1.1894171511678622,1.34
85,1.1892830065283626,1.32
86,1.1890358698270624,1.3
87,1.18854347594044,1.28
88,1.1882238620170456,1.26
89,1.1879319397546575,1.24
90,1.187933588576971,1.22
91,1.1878692070987704,1.2
92,1.1872474423465038,1.18
93,1.1871530821674179,1.16
94,1.1881297036447638,1.14
95,1.1878178284550507,1.12
96,1.1887165852647221,1.1
97,1.1883554521664361,1.08
98,1.1881674923917165,1.06
99,1.1883425335858366,1.04
100,1.1883186986552894,1.02
