epoch,quantization_error,neighborhood_radius
0,4.428751678064279,3.0
1,1.4274413414748268,3.0
2,1.2307631514664528,2.98
3,1.2108777793634766,2.96
4,1.1909042803646337,2.94
5,1.1894222809332362,2.92
6,1.1766689939942676,2.9
7,1.17718882205372,2.88
8,1.1747146999622267,2.86
9,1.1727588635222235,2.84
10,1.173303085980732,2.8200000000000003
11,1.1738648130435594,2.8
12,1.1718565159577687,2.7800000000000002
13,1.1728091429843628,2.76
14,1.1725320543412872,2.74
15,1.1735517012022685,2.7199999999999998
16,1.171707313704672,2.7
17,1.172649166208074,2.6799999999999997
18,1.1742859963796217,2.66
19,1.1766192377128277,2.64
20,1.177476134904658,2.62
21,1.1775434919152798,2.6
22,1.177879466901829,2.58
23,1.1785491013446838,2.56
24,1.179901405894191,2.54
25,1.180082696531104,2.52
26,1.1794339433072376,2.5
27,1.1795722215279636,2.48
28,1.1797887162609613,2.46
29,1.178966084537972,2.44
30,1.1801307066878592,2.42
31,1.1794776530032878,2.4
32,1.1800694294112564,2.38
33,1.180415828586648,2.36
34,1.1796228106812001,2.34
35,1.1782736297647993,2.32
36,1.1779937168813666,2.3
37,1.1771350594798553,2.2800000000000002
38,1.177197865310708,2.26
39,1.1767078745837083,2.24
40,1.1768414750669087,2.2199999999999998
41,1.1772692444353723,2.2
42,1.177327017773069,2.18
43,1.1765688994838899,2.16
44,1.1775361121739032,2.14
45,1.1772014335053589,2.12
46,1.1770821949246524,2.1
47,1.176809353511349,2.08
48,1.1761793590201857,2.06
49,1.176462812339805,2.04
50,1.17705215123219,2.02
51,1.1767240993793182,2.0
52,1.065632465312624,1.98
53,1.0725372236474238,1.96
54,1.0419244474393428,1.94
55,1.053419191657205,1.92
56,1.0457880936391024,1.9
57,1.0488930478024754,1.88
58,1.0468477675118144,1.86
59,1.0490198650247604,1.84
60,1.048023369089415,1.82
61,1.048515693493988,1.8
62,1.0477106736398987,1.78
63,1.0477540610312661,1.76
64,1.0484764527354595,1.74
65,1.0485481436382078,1.72
66,1.048791985294686,1.7
67,1.0478598168308666,1.68
68,1.0480195403021775,1.66
69,1.047816131584011,1.64
70,1.0476130120783582,1.62
71,1.0477403575309447,1.6
72,1.0479481572700386,1.58
73,1.0475927906286115,1.56
74,1.0474178352284933,1.54
75,1.0487854928308293,1.52
76,1.0467712458854723,1.5
77,1.0487176490274217,1.48
78,1.046283113543835,1.46
79,1.0469452371691514,1.44
80,1.0455416169656884,1.42
81,1.0471618219905865,1.4
82,1.0452670647290319,1.38
83,1.046732293562891,1.36
84,1.0462129278588568,1.34
85,1.0456806955341096,1.32
86,1.0449026662019725,1.3
87,1.0457563164342896,1.28
88,1.0456967126806105,1.26
89,1.0461906064930528,1.24
90,1.046039905937999,1.22
91,1.0457475710627826,1.2
92,1.0457157912280972,1.18
93,1.0455726049212668,1.16
94,1.0454466456718778,1.14
95,1.0466781940275938,1.12
96,1.044966121307304,1.1
97,1.0464285593504985,1.08
98,1.0463129618461813,1.06
99,1.0462360944482751,1.04
100,1.0460997431310364,1.02
